"jobTitle","company","meanPay"
"Customer Service - Hourly","Neopost USA","$16/hr"
"Customer Service","Philips","$36,455/yr"
"Customer Service - Hourly","King Soopers","$13/hr"
"Customer Service - Hourly","Mountain View Market","$10/hr"
"Customer Service - Hourly","PNC Financial Services Group","$13/hr"
"Customer Service - Hourly","FastSigns","$16/hr"
"Customer Service - Hourly","Pizza Hut","$11/hr"
"Customer Service - Hourly","Chadwell Supply","$14/hr"
"Customer Service - Hourly","LaserShip","$13/hr"
"Customer Service - Hourly","hhgregg","$10/hr"
"Customer Service - Hourly","Regence BlueCross BlueShield of Oregon","$16/hr"
"Customer Service - Hourly","Blue Cross Blue Shield of Minnesota","$18/hr"
"Customer Service","Costco Wholesale","$31,492/yr"
"Customer Service","Panduit","$48,439/yr"
"Customer Service","J.P. Morgan","$33,075/yr"
"Customer Service","Sprint","$29,712/yr"
"Customer Service - Hourly","Weis Markets","$9/hr"
"Customer Service - Hourly","Wayfair","$16/hr"
"Customer Service - Hourly","GE Capital","$15/hr"
"Customer Service - Hourly","Insight Global","$15/hr"
"Customer Service - Hourly","Tenergy","$17/hr"
"Customer Service - Hourly","Wawa","$10/hr"
"Customer Service - Hourly","Academy Sports + Outdoors","$10/hr"
"Customer Service - Hourly","Panda Express","$10/hr"
"Customer Service - Hourly","Fidelity Investments","$16/hr"
"Customer Service - Hourly","Musician's Friend","$12/hr"
"Customer Service","Farmers Insurance Group","$29,559/yr"
"Customer Service - Hourly","MobilexUSA","$12/hr"
"Customer Service - Hourly","HomeGoods","$9/hr"
"Customer Service","McKesson","$47,977/yr"
"Customer Service - Hourly","The UPS Store","$10/hr"
"Customer Service - Hourly","Uber","$18/hr"
"Customer Service - Hourly","Costume SuperCenter","$13/hr"
"Customer Service - Hourly","American Fidelity Assurance Company","$20/hr"
"Customer Service - Hourly","Alliance Data","$14/hr"
"Customer Service - Hourly","Conn's","$11/hr"
"Customer Service - Hourly","Neiman Marcus","$13/hr"
"Customer Service - Hourly","Speedway LLC","$9/hr"
"Customer Service","Stop & Shop","$20,491/yr"
"Customer Service - Hourly","Nordstrom Rack","$12/hr"
"Customer Service","Verizon Wireless","$37,557/yr"
"Customer Service - Hourly","TaylorMade Golf","$24/hr"
"Customer Service - Hourly","Allstate","$14/hr"
"Customer Service - Hourly","Marriott International","$12/hr"
"Customer Service","Gerber Life","$33,451/yr"
"Customer Service","Eastman","$42,515/yr"
"Customer Service - Hourly","Army and Air Force Exchange","$9/hr"
"Customer Service - Hourly","A&P","$10/hr"
"Customer Service - Hourly","Grand Traverse Pie Company","$11/hr"
"Customer Service - Hourly","24 Hour Fitness","$11/hr"
"Customer Service - Hourly","Republic National Distributing Company","$15/hr"
"Customer Service","U.S. Xpress","$41,400/yr"
"Customer Service","Expeditors","$32,914/yr"
"Customer Service - Hourly","Barnes & Noble College Bookstores","$9/hr"
"Customer Service - Hourly","ContactUS Communications","$11/hr"
"Customer Service","Interlake Mecalux","$33,207/yr"
"Customer Service - Hourly","Bass Pro Shops","$10/hr"
"Customer Service - Hourly","Patient Care Pharmacy","$10/hr"
"Customer Service - Hourly","SF Planet","$15/hr"
"Customer Service - Hourly","TLK Group","$11/hr"
"Customer Service","Next Jump","$49,728/yr"
"Customer Service - Hourly","Mitchell International","$15/hr"
"Customer Service - Hourly","Rapid Response Monitoring","$18/hr"
"Customer Service - Hourly","DICK'S Sporting Goods","$10/hr"
"Customer Service - Hourly","CarMax","$15/hr"
"Customer Service - Hourly","Albertsons Companies","$12/hr"
"Customer Service - Hourly","Shoprite Supermarkets","$11/hr"
"Customer Service - Hourly","AMITA Health","$16/hr"
"Customer Service","Thomson Reuters","$50,779/yr"
"Customer Service","New York Life","$37,380/yr"
"Customer Service","Nordson","$42,551/yr"
"Customer Service - Hourly","Burger King","$11/hr"
"Customer Service - Hourly","Dillon Companies","$11/hr"
"Customer Service","Cambia Health Solutions","$59,523/yr"
"Customer Service - Hourly","Avis Budget Group","$13/hr"
"Customer Service - Hourly","MINDBODY","$18/hr"
"Customer Service","ING","$35,360/yr"
"Customer Service - Hourly","Little Caesar's","$10/hr"
"Customer Service - Hourly","HMX","$17/hr"
"Customer Service - Hourly","Trupanion","$19/hr"
"Customer Service - Hourly","Circle K","$11/hr"
"Customer Service","Martin-Brower","$33,877/yr"
"Customer Service","Bangor Savings Bank","$30,044/yr"
"Customer Service","GrubMarket","$48,329/yr"
"Customer Service - Hourly","PcCareSupport","$10/hr"
"Customer Service","Jack Henry & Associates","$47,205/yr"
"Customer Service - Hourly","GC Services","$9/hr"
"Customer Service - Hourly","buybuy BABY","$11/hr"
"Customer Service - Hourly","Coborn's","$10/hr"
"Customer Service","Regence BlueCross BlueShield of Oregon","$41,262/yr"
"Customer Service - Hourly","Pathmark","$9/hr"
"Customer Service","New Era Cap","$41,481/yr"
"Customer Service","CVS Health","$28,372/yr"
"Customer Service - Hourly","Internet Brands","$13/hr"
"Customer Service","Pratt Industries USA","$46,485/yr"
"Customer Service","Social Solutions","$42,133/yr"
"Customer Service - Hourly","Freedom Financial Network","$15/hr"
"Customer Service","Manitowoc Co.","$35,782/yr"
"Customer Service - Hourly","U.S. Bank","$16/hr"
"Customer Service - Hourly","Salt Armour","$10/hr"
"Customer Service - Hourly","Life Alert","$17/hr"
"Customer Service - Hourly","Sunoco","$10/hr"
"Customer Service - Hourly","Once Upon A Child","$9/hr"
"Customer Service - Hourly","Sodexo USA","$13/hr"
"Customer Service","TE Connectivity","$36,514/yr"
"Customer Service","Zozi","$59,614/yr"
"Customer Service - Hourly","Wells Fargo","$11/hr"
"Customer Service - Hourly","Highmark","$16/hr"
"Customer Service - Hourly","NCO","$12/hr"
"Customer Service - Hourly","Panera Bread","$9/hr"
"Customer Service - Hourly","US Airways","$15/hr"
"Customer Service","R.R. Donnelley","$47,366/yr"
"Customer Service","Shapeways","$39,980/yr"
"Customer Service - Hourly","Walt Disney Company","$13/hr"
"Customer Service","ABC Imaging","$34,060/yr"
"Customer Service - Hourly","SkyWest Airlines","$11/hr"
"Customer Service","DISH","$26,499/yr"
"Customer Service - Hourly","Blizzard Entertainment","$13/hr"
"Customer Service - Hourly","RDI","$10/hr"
"Customer Service - Hourly","Rooms To Go","$11/hr"
"Customer Service - Hourly","Navy Federal Credit Union","$16/hr"
"Customer Service - Hourly","Citadel Federal Credit Union","$20/hr"
"Customer Service","American Home Shield","$31,761/yr"
"Customer Service - Hourly","Longs Drug","$10/hr"
"Customer Service - Hourly","The RealReal","$17/hr"
"Customer Service","X-Rite","$37,265/yr"
"Customer Service - Hourly","ViSalus","$13/hr"
"Customer Service - Hourly","H E B","$11/hr"
"Customer Service","Republic Services","$38,995/yr"
"Customer Service - Hourly","United Airlines","$29/hr"
"Customer Service - Hourly Contractor","FirstEnergy","$12/hr"
"Customer Service - Hourly","7-Eleven","$9/hr"
"Customer Service - Hourly","Savers","$9/hr"
"Customer Service - Hourly","Waste Management","$15/hr"
"Customer Service - Hourly","US Airways","$16/hr"
"Customer Service - Hourly","Gordon Companies","$11/hr"
"Customer Service - Hourly","BJ's Wholesale Club","$15/hr"
"Customer Service - Hourly","Infinity Insurance","$15/hr"
"Customer Service - Hourly","TextBook Solutions","$9/hr"
"Customer Service - Hourly","American Eagle Outfitters","$15/hr"
"Customer Service","Univar Solutions","$51,140/yr"
"Customer Service - Hourly","WEST","$8/hr"
"Customer Service - Hourly","Movoto Real Estate","$15/hr"
"Customer Service - Hourly","Aveda","$18/hr"
"Customer Service","Lowe's","$31,500/yr"
"Customer Service - Hourly","Dart Container","$15/hr"
"Customer Service - Hourly","Ozburn-Hessey Logistics","$19/hr"
"Customer Service - Hourly","Synchrony","$13/hr"
"Customer Service","Atotech","$41,058/yr"
"Customer Service - Hourly","Rainbow Blossom","$8/hr"
"Customer Service","GE Capital","$32,930/yr"
"Customer Service - Hourly","Shop 'n Save","$10/hr"
"Customer Service - Hourly","CVS Health","$12/hr"
"Customer Service","Aon","$33,477/yr"
"Customer Service - Hourly","UPS","$15/hr"
"Customer Service","Amtrak","$51,056/yr"
"Customer Service - Hourly","TransferWise","$14/hr"
"Customer Service - Hourly","Masonite International","$15/hr"
"Customer Service","SquareTrade","$37,017/yr"
"Customer Service - Hourly","OnStar","$11/hr"
"Customer Service - Hourly","TCBY","$15/hr"
