"jobTitle","meanPay","Range"
"Government Affairs Manager","$110,548/yr","Range: $107K - $114K"
"QCT Interim Engineering - Hourly Intern","$31/hr","Range: $27 - $36"
"Oracle Developer","$119,021/yr","Range: $113K - $126K"
"Security Engineer, Staff","$151,125/yr","Range: $144K - $157K"
"Customer Engineer","$96,537/yr","Range: $89K - $105K"
"Recruiter","$81,028/yr","Range: $72K - $91K"
"Embedded Systems Engineer","$97,524/yr","Range: $91K - $105K"
"Software Development Engineer - Contractor","$90,199/yr","Range: $73K - $108K"
"Materials Manager","$119,902/yr","Range: $114K - $124K"
"Marketing","$139,811/yr","Range: $67K - $219K"
"Executive Secretary","$68,598/yr","Range: $63K - $74K"
"Staff Manager IT","$186,261/yr","Range: $177K - $198K"
"Principal Staff Engineer/Manager","$211,330/yr","Range: $200K - $225K"
"Principal Engineering Manager","$198,883/yr","Range: $182K - $216K"
"Programmer Analyst - Hourly","$39/hr","Range: $37 - $40"
"IT Security Engineer","$145,339/yr","Range: $139K - $152K"
"Software Development Manager","$161,190/yr","Range: $137K - $188K"
"IT Support Analyst - Hourly","$27/hr","Range: $23 - $30"
"Packaging Engineer","$91,562/yr","Range: $83K - $100K"
"Strategic Business Analyst","$121,880/yr","Range: $113K - $129K"
"Senior Staff Engineer - Hourly","$78/hr","Range: $72 - $83"
"Engineer III - Contractor","$102,852/yr","Range: $78K - $130K"
"Associate Product Marketing Manager","$88,994/yr","Range: $80K - $99K"
"Oracle Applications Database Administrator","$143,664/yr","Range: $136K - $153K"
"Staff Project Manager","$160,146/yr","Range: $148K - $172K"
"Security Specialist","$61,380/yr","Range: $54K - $70K"
"IT Director","$196,290/yr","Range: $181K - $212K"
"Test Equipment Technician - Hourly","$19/hr","Range: $17 - $21"
"Senior RF Hardware","$105,757/yr","Range: $100K - $110K"
"Staff Software/Sys Test Engineer","$135,478/yr","Range: $117K - $153K"
"Contract Administrator","$61,274/yr","Range: $54K - $69K"
"Staff RF Hardware Design Engineer","$138,954/yr","Range: $123K - $158K"
"Principal Systems Engineer/Manager","$194,306/yr","Range: $177K - $212K"
"Colorado","$108,641/yr","Range: $102K - $115K"
"Hardware Design Engineer","$120,073/yr","Range: $106K - $135K"
"Accountant","$69,404/yr","Range: $62K - $77K"
"Staff Network Engineer","$128,742/yr","Range: $111K - $147K"
"Associate Patent Counsel","$170,581/yr","Range: $151K - $190K"
"Software Engineering","$113,117/yr","Range: $103K - $123K"
"Modem Systems Test Engineer - Hourly Contractor","$35/hr","Range: $33 - $37"
"Director of Business Operations","$195,092/yr","Range: $185K - $206K"
"Senior Device Physicist","$172,088/yr","Range: $163K - $180K"
"Interim Engineering - Monthly Intern","$6,304/mo","Range: $6K - $7K"
"Staff Informatica ETL Developer","$133,807/yr","Range: $127K - $141K"
"IC Packaging Engineer","$113,646/yr","Range: $98K - $130K"
"Legal Specialist, Int","$66,610/yr","Range: $57K - $78K"
"Hardware Engineering - Hourly Intern","$37/hr","Range: $32 - $42"
"Software Developer - Hourly Intern","$30/hr","Range: $22 - $39"
"Signal Processing Engineer","$123,285/yr","Range: $117K - $128K"
"Senior Technical Support Engineer","$101,713/yr","Range: $89K - $115K"
"Machine Learning Engineer","$114,729/yr","Range: $104K - $128K"
"Wireless Systems Engineer","$130,950/yr","Range: $106K - $157K"
"Senior Staff Manager - Systems Engineer","$191,812/yr","Range: $183K - $205K"
"Staff IT Auditor","$117,807/yr","Range: $108K - $130K"
"Human Resources","$73,878/yr","Range: $26K - $125K"
"Algorithm Engineer","$133,828/yr","Range: $117K - $151K"
"Staff Software Engineer - Monthly","$11,339/mo","Range: $10K - $12K"
"Field Test Engineer - Hourly Contractor","$36/hr","Range: $33 - $40"
"Senior Software Development Engineer","$129,739/yr","Range: $118K - $141K"
"Associate Financial Analyst","$67,130/yr","Range: $62K - $71K"
"HR Specialist","$97,292/yr","Range: $81K - $114K"
"ASIC Design Verification Engineer","$117,633/yr","Range: $96K - $142K"
"Senior Executive Assistant","$74,390/yr","Range: $71K - $78K"
"Technology Manager","$167,271/yr","Range: $127K - $212K"
"User Experience Designer","$116,235/yr","Range: $94K - $141K"
"Senior IT Security Engineer","$103,640/yr","Range: $98K - $110K"
"Analog Design Engineer","$113,317/yr","Range: $107K - $119K"
"Engineering Technician - Hourly Contractor","$27/hr","Range: $22 - $34"
"Licensing Analyst","$73,620/yr","Range: $59K - $89K"
"Systems Engineer Staff/Manager","$159,469/yr","Range: $152K - $168K"
