"jobTitle","company","meanPay"
"Marketing","Vitamix","$83,090/yr"
"Marketing - Hourly Intern","The Coca-Cola Company","$31/hr"
"Marketing","Unconventional Wealth Publishing","$46,500/yr"
"Marketing","Jack Link's Protein Snacks","$92,540/yr"
"Marketing","One Kings Lane","$84,285/yr"
"Marketing","Pulse Electronics","$77,064/yr"
"Marketing","Solutionreach","$52,872/yr"
"Marketing - Hourly Intern","Blackboard","$21/hr"
"Marketing","Centercode","$47,139/yr"
"Marketing - Hourly Intern","Bosch","$18/hr"
"Marketing - Hourly Intern","Bucks4Books","$11/hr"
"Marketing","HAKS Engineers","$50,596/yr"
"Marketing","Loot Crate","$69,191/yr"
"Marketing","Primex Family of Companies","$70,187/yr"
"Marketing","DECAGON DEVICES","$39,563/yr"
"Marketing - Hourly Intern","OPSWAT","$16/hr"
"Marketing - Hourly Intern","United Way","$12/hr"
"Marketing","BlueWare, Inc","$41,681/yr"
"Marketing","Seagate Technology","$123,587/yr"
"Marketing","HealthyPets","$40,740/yr"
"Marketing","Basic Research","$60,148/yr"
